matchId,season,date,round,phase,home,away,venue,vbucket,predMargin,absPred,closeBand,weTipped,actualMargin,absActual,draw,miss,class,fieldN,fieldShareCorrect,fieldHomeShare,fieldFav,weAgainstField,ourProbWinner,fieldProbWinner,restHome,restAway,restDiff,postByeHome,postByeAway,weather,wet,gameid
1895,2025,2025-04-26,Round 7,early,GWS Giants,Western Bulldogs,Manuka Oval,true_home_interstate,13.7,13.7,12-24,home,-32,32,False,True,consensus,23,0.217,0.783,home,False,0.317,0.449,7,6,1,False,False,RAIN,True,37149
1897,2025,2025-04-27,Round 7,early,Carlton,Geelong,MCG,shared_derby,-5.6,5.6,<6,away,18,18,False,True,consensus,23,0.217,0.217,away,False,0.418,0.44,9,6,3,False,False,RAIN,True,37151
1900,2025,2025-05-02,Round 8,early,St Kilda,Fremantle,Marvel Stadium,shared_interstate,-3.44,3.44,<6,away,61,61,False,True,consensus,23,0.174,0.174,away,False,0.448,0.437,6,7,-1,False,False,SUNNY,False,37154
1903,2025,2025-05-03,Round 8,early,Collingwood,Geelong,MCG,shared_derby,18.26,18.26,12-24,home,-3,3,False,True,consensus,23,0.043,0.957,home,False,0.269,0.391,8,6,2,False,False,MOSTLY_SUNNY,False,37157
1909,2025,2025-05-09,Round 9,mid,St Kilda,Carlton,MCG,shared_derby,7.88,7.88,6-12,home,-15,15,False,True,tipper_specific,23,0.739,0.261,away,True,0.388,0.549,7,6,1,False,False,MOSTLY_SUNNY,False,37163
1911,2025,2025-05-10,Round 9,mid,Essendon,Sydney,Marvel Stadium,shared_interstate,-6.44,6.44,6-12,away,8,8,False,True,consensus,23,0.13,0.13,away,False,0.407,0.427,9,6,3,False,False,SUNNY,False,37165
1915,2025,2025-05-11,Round 9,mid,Geelong,GWS Giants,Kardinia Park,true_home_interstate,8.9,8.9,6-12,home,-4,4,False,True,consensus,23,0.0,1.0,home,False,0.375,0.313,8,7,1,False,False,MOSTLY_SUNNY,False,37169
1917,2025,2025-05-15,Round 10,mid,Gold Coast,Hawthorn,TIO Stadium,true_home_interstate,-0.34,0.34,<6,away,8,8,False,True,grey,23,0.609,0.565,home,True,0.495,0.506,5,5,0,False,False,SUNNY,False,37171
1920,2025,2025-05-17,Round 10,mid,GWS Giants,Fremantle,Sydney Showground,true_home_interstate,12.51,12.51,12-24,home,-34,34,False,True,consensus,23,0.0,1.0,home,False,0.331,0.296,6,9,-3,False,False,RAIN,True,37175
1923,2025,2025-05-18,Round 10,mid,Richmond,North Melbourne,MCG,shared_derby,0.29,0.29,<6,home,-4,4,False,True,tipper_specific,23,0.826,0.174,away,True,0.495,0.559,7,7,0,False,False,RAIN,True,37177
