matchId,season,date,home,away,venue,p_v3,pred_v3,p_w,pred_w,actual,wheelo_right
1835,2024,2024-09-21,Geelong,Brisbane Lions,MCG,0.4307,-4.68,0.5380,3.10,-10,False
1836,2024,2024-09-28,Sydney,Brisbane Lions,MCG,0.6117,7.83,0.4390,-5.00,-60,True
1838,2025,2025-03-09,GWS Giants,Collingwood,Sydney Showground,0.5265,1.73,0.4470,-4.40,52,False
1855,2025,2025-03-23,Fremantle,Sydney,Perth Stadium,0.4853,-0.95,0.5710,6.00,-3,False
1857,2025,2025-03-28,Carlton,Western Bulldogs,Marvel Stadium,0.4491,-3.38,0.5610,5.10,-8,False
1885,2025,2025-04-19,Adelaide,GWS Giants,Adelaide Oval,0.4454,-3.64,0.6560,13.30,18,True
1892,2025,2025-04-25,Fremantle,Adelaide,Perth Stadium,0.5200,1.30,0.4930,-0.60,18,False
1909,2025,2025-05-09,St Kilda,Carlton,MCG,0.6123,7.88,0.3270,-15.00,-15,True
1917,2025,2025-05-15,Gold Coast,Hawthorn,TIO Stadium,0.4947,-0.34,0.5620,5.20,8,True
1923,2025,2025-05-18,Richmond,North Melbourne,MCG,0.5046,0.29,0.3990,-8.50,-4,True
1951,2025,2025-06-13,Hawthorn,Adelaide,UTAS Stadium,0.5371,2.44,0.3880,-9.50,3,False
1955,2025,2025-06-15,Port Adelaide,Melbourne,Adelaide Oval,0.6161,8.17,0.4390,-5.20,25,False
1960,2025,2025-06-21,Port Adelaide,Sydney,Adelaide Oval,0.5523,3.48,0.4330,-5.60,-19,True
1964,2025,2025-06-26,Port Adelaide,Carlton,Adelaide Oval,0.6371,9.83,0.4740,-2.20,50,False
1978,2025,2025-07-06,Sydney,Fremantle,SCG,0.4896,-0.67,0.6040,8.80,11,True
1983,2025,2025-07-12,GWS Giants,Geelong,Sydney Showground,0.5111,0.71,0.3650,-11.40,26,False
1985,2025,2025-07-12,Fremantle,Hawthorn,Perth Stadium,0.4398,-4.03,0.5400,3.40,13,True
1990,2025,2025-07-18,Brisbane Lions,Western Bulldogs,Gabba,0.6600,11.73,0.4550,-3.80,10,False
2016,2025,2025-08-07,Hawthorn,Collingwood,MCG,0.5475,3.15,0.4690,-2.60,64,False
10978,2026,2026-03-06,Gold Coast,Geelong,Carrara,0.4717,-1.85,0.5225,1.90,56,True
42389,2026,2026-03-21,GWS Giants,St Kilda,Sydney Showground,0.6774,13.24,0.4887,-1.00,-4,True
42399,2026,2026-03-29,Carlton,Melbourne,MCG,0.5463,3.07,0.4781,-1.90,-23,True
42401,2026,2026-04-03,North Melbourne,Carlton,Marvel Stadium,0.6157,8.14,0.4956,-0.40,10,False
47883,2026,2026-04-10,Collingwood,Fremantle,Adelaide Oval,0.5624,4.19,0.3827,-10.10,-6,True
63165,2026,2026-04-23,Western Bulldogs,Sydney,Marvel Stadium,0.5120,0.77,0.4735,-2.23,-66,True
72833,2026,2026-05-08,Port Adelaide,Western Bulldogs,Adelaide Oval,0.4837,-1.05,0.5723,6.08,-2,False
72850,2026,2026-05-22,Richmond,Essendon,MCG,0.5218,1.42,0.2964,-17.50,18,False
72861,2026,2026-05-30,Brisbane Lions,Fremantle,Gabba,0.4626,-2.46,0.6825,15.69,-25,False
72863,2026,2026-05-31,Melbourne,GWS Giants,Traeger Park,0.5687,4.63,0.4288,-5.93,-49,True
